,Radius,Centre,radius_1,centre_1,radius_2,centre_2,radius_3,centre_3
0,-1.0,"[0, 0]",0.0,0,0.0,0,0.0,0
1,0.5,"[-0.5, 0]",0.0,0,0.0,0,0.0,0
2,0.5,"[0.5, 0]",0.0,0,0.0,0,0.0,0
3,0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]",0.5,"[-0.5, 0]",0.5,"[0.5, 0]"
4,0.3333333333333333,"[0.0, -0.6666666666666666]",-1.0,"[0, 0]",0.5,"[-0.5, 0]",0.5,"[0.5, 0]"
5,0.16666666666666666,"[0.5, 0.6666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]",0.5,"[0.5, 0]"
6,0.16666666666666666,"[-0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]",0.5,"[0.5, 0]"
7,0.16666666666666666,"[0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]",0.5,"[-0.5, 0]"
8,0.16666666666666666,"[-0.5, 0.6666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]",0.5,"[-0.5, 0]"
9,0.06666666666666667,"[0.0, 0.26666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",0.5,"[-0.5, 0]",0.5,"[0.5, 0]"
10,0.16666666666666666,"[0.5, -0.6666666666666666]",0.3333333333333333,"[0.0, -0.6666666666666666]",-1.0,"[0, 0]",0.5,"[0.5, 0]"
11,0.16666666666666666,"[-0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, -0.6666666666666666]",-1.0,"[0, 0]",0.5,"[0.5, 0]"
12,0.16666666666666666,"[0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, -0.6666666666666666]",-1.0,"[0, 0]",0.5,"[-0.5, 0]"
13,0.16666666666666666,"[-0.5, -0.6666666666666666]",0.3333333333333333,"[0.0, -0.6666666666666666]",-1.0,"[0, 0]",0.5,"[-0.5, 0]"
14,0.06666666666666667,"[0.0, 0.0]",0.3333333333333333,"[0.0, -0.6666666666666666]",0.5,"[-0.5, 0]",0.5,"[0.5, 0]"
15,0.043478260869565216,"[0.34782608695652173, 0.5217391304347826]",0.16666666666666666,"[0.5, 0.6666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",0.5,"[0.5, 0]"
16,0.07142857142857142,"[0.3571428571428571, 0.8571428571428571]",0.16666666666666666,"[0.5, 0.6666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]"
17,0.07142857142857142,"[0.07142857142857142, 0.0]",0.16666666666666666,"[0.5, 0.6666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]"
18,0.09090909090909091,"[0.7272727272727273, 0.5454545454545454]",0.16666666666666666,"[0.5, 0.6666666666666666]",-1.0,"[0, 0]",0.5,"[0.5, 0]"
19,0.09090909090909091,"[0.0, 0.18181818181818182]",0.16666666666666666,"[0.5, 0.6666666666666666]",-1.0,"[0, 0]",0.5,"[0.5, 0]"
20,0.043478260869565216,"[0.0, 0.17391304347826086]",0.16666666666666666,"[-0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, 0.6666666666666666]",0.5,"[0.5, 0]"
21,0.07142857142857142,"[0.07142857142857142, 0.0]",0.16666666666666666,"[-0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]"
22,0.07142857142857142,"[-0.21428571428571427, 0.2857142857142857]",0.16666666666666666,"[-0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]"
23,0.09090909090909091,"[0.0, 0.18181818181818182]",0.16666666666666666,"[-0.16666666666666666, 0.0]",-1.0,"[0, 0]",0.5,"[0.5, 0]"
24,0.09090909090909091,"[0.0, -0.18181818181818182]",0.16666666666666666,"[-0.16666666666666666, 0.0]",-1.0,"[0, 0]",0.5,"[0.5, 0]"
25,0.043478260869565216,"[0.0, 0.17391304347826086]",0.16666666666666666,"[0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, 0.6666666666666666]",0.5,"[-0.5, 0]"
26,0.07142857142857142,"[0.21428571428571427, 0.2857142857142857]",0.16666666666666666,"[0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]"
27,0.07142857142857142,"[-0.07142857142857142, 0.0]",0.16666666666666666,"[0.16666666666666666, 0.0]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]"
28,0.09090909090909091,"[0.0, 0.18181818181818182]",0.16666666666666666,"[0.16666666666666666, 0.0]",-1.0,"[0, 0]",0.5,"[-0.5, 0]"
29,0.09090909090909091,"[0.0, -0.18181818181818182]",0.16666666666666666,"[0.16666666666666666, 0.0]",-1.0,"[0, 0]",0.5,"[-0.5, 0]"
30,0.043478260869565216,"[0.0, 0.0]",0.16666666666666666,"[-0.5, 0.6666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",0.5,"[-0.5, 0]"
31,0.07142857142857142,"[-0.07142857142857142, 0.0]",0.16666666666666666,"[-0.5, 0.6666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]"
32,0.07142857142857142,"[-0.3571428571428571, 0.8571428571428571]",0.16666666666666666,"[-0.5, 0.6666666666666666]",0.3333333333333333,"[0.0, 0.6666666666666666]",-1.0,"[0, 0]"
